marque,modele,marque_et_modele,boite_vitesse,couleur,critair,categorie,cylindree,kilometrage,nb_places,nb_portes,nb_vitesses,puissance_fiscale,puissance_physique,carburant,annee,nb_roues_motrices,prix
peugeot,308,peugeot 308,manuelle,Bleu,niveau 1,berline,1199,34857,5,5,6,7,130,essence,2018,2 roues motrices,18990
peugeot,308,peugeot 308,automatique,Blanc,niveau 1,berline,1199,70795,5,5,8,7,130,essence,2019,2 roues motrices,17289
peugeot,208,peugeot 208,automatique,Gris,niveau 0,citadine,0,44564,5,5,1,2,136,electrique,2020,2 roues motrices,18950
opel,crossland,opel crossland,automatique,Blanc,niveau 1,suv-4x4,1199,39816,5,5,6,7,130,essence,2019,2 roues motrices,16990
toyota,aygo,toyota aygo,manuelle,Gris,niveau 1,citadine,998,6124,4,5,5,4,72,essence,2019,2 roues motrices,11990
hyundai,ioniq,hyundai ioniq,automatique,Gris,niveau 1,berline,1580,36157,5,5,6,5,105,hybride,2019,2 roues motrices,22280
opel,corsa,opel corsa,manuelle,Gris,niveau 1,citadine,1364,86110,5,5,6,5,100,essence,2018,2 roues motrices,10790
peugeot,2008,peugeot 2008,manuelle,Gris,niveau 1,suv-4x4,1199,1,5,5,6,5,100,essence,2023,2 roues motrices,20990
volkswagen,t-roc,volkswagen t-roc,manuelle,Gris,niveau 1,suv-4x4,999,79795,5,5,6,6,115,essence,2019,2 roues motrices,17490
peugeot,expert,peugeot expert,manuelle,Blanc,niveau 2,utilitaire,1560,76511,3,4,6,5,115,diesel,2018,2 roues motrices,20490
opel,crossland,opel crossland,automatique,Noir,niveau 1,suv-4x4,1199,33726,,5,0,7,131,essence,2022,,18489
opel,grandland,opel grandland,manuelle,Blanc,niveau 2,suv-4x4,1560,79971,5,5,6,6,120,diesel,2019,2 roues motrices,17290
peugeot,3008,peugeot 3008,automatique,Gris,niveau 1,suv-4x4,1199,25722,5,5,8,7,130,essence,2019,2 roues motrices,24990
peugeot,108,peugeot 108,manuelle,Blanc,niveau 1,citadine,998,52492,4,5,5,4,72,essence,2019,2 roues motrices,11590
opel,crossland,opel crossland,manuelle,Gris,niveau 1,suv-4x4,1199,21269,5,5,6,6,110,essence,2021,2 roues motrices,16490
peugeot,2008,peugeot 2008,automatique,Orange,niveau 0,suv-4x4,0,22271,5,5,0,4,136,electrique,2020,2 roues motrices,22280
peugeot,5008,peugeot 5008,manuelle,Blanc,niveau 1,suv-4x4,1199,66220,7,5,6,7,131,essence,2020,2 roues motrices,25490
peugeot,5008,peugeot 5008,automatique,Gris,niveau 2,suv-4x4,1499,31716,7,5,8,7,131,diesel,2023,2 roues motrices,37990
peugeot,5008,peugeot 5008,automatique,Blanc,niveau 2,suv-4x4,1499,32476,7,5,8,7,131,diesel,2022,2 roues motrices,35990
peugeot,partner,peugeot partner,manuelle,Blanc,niveau 2,utilitaire,1499,50400,2,3,5,5,99,diesel,2021,2 roues motrices,19990
peugeot,208,peugeot 208,automatique,Jaune,niveau 0,citadine,0,50,5,5,0,4,136,electrique,2023,2 roues motrices,35210
peugeot,5008,peugeot 5008,automatique,Blanc,niveau 2,suv-4x4,1499,14000,7,5,8,7,131,diesel,2023,2 roues motrices,48600
peugeot,308 sw,peugeot 308 sw,automatique,Gris,niveau 1,break,1199,500,5,5,8,7,131,essence,2023,2 roues motrices,33990
peugeot,5008,peugeot 5008,automatique,Noir,niveau 2,suv-4x4,1499,9000,7,5,8,7,131,diesel,2023,2 roues motrices,46490
citroën,c5 aircross,citroën c5 aircross,automatique,Bleu,niveau 2,suv-4x4,1499,2121,5,5,8,7,131,diesel,2023,2 roues motrices,33990
dacia,sandero,dacia sandero,manuelle,Bleu,niveau 1,citadine,998,66678,5,5,5,4,73,essence,2018,2 roues motrices,10990
citroën,c3 aircross,citroën c3 aircross,manuelle,Gris,niveau 2,suv-4x4,1499,90022,5,5,6,5,99,diesel,2018,2 roues motrices,14590
peugeot,208,peugeot 208,manuelle,Noir,niveau 1,citadine,1199,24251,5,5,6,5,102,essence,2020,2 roues motrices,17312
peugeot,208,peugeot 208,manuelle,Bleu,niveau 2,citadine,1499,58198,5,5,6,5,102,diesel,2021,2 roues motrices,16490
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,47678,5,5,5,4,82,essence,2019,2 roues motrices,13490
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,15199,5,5,6,5,102,essence,2022,2 roues motrices,20990
peugeot,208,peugeot 208,automatique,Gris,niveau 1,citadine,1199,14080,5,5,8,5,102,essence,2022,2 roues motrices,23290
peugeot,108,peugeot 108,manuelle,Rouge,niveau 1,citadine,998,40419,4,5,5,4,72,essence,2020,2 roues motrices,12990
citroën,c3 aircross,citroën c3 aircross,automatique,Blanc,niveau 2,suv-4x4,1499,37500,5,5,6,6,120,diesel,2020,2 roues motrices,19426
peugeot,3008,peugeot 3008,automatique,,niveau 1,suv-4x4,1199,101402,5,5,6,7,131,essence,2018,2 roues motrices,18178
peugeot,3008,peugeot 3008,automatique,Gris,niveau 1,suv-4x4,1598,12441,5,5,8,10,181,hybride rechargeable,2021,2 roues motrices,33990
citroën,c3 aircross,citroën c3 aircross,automatique,Sable,niveau 1,suv-4x4,1199,36707,5,5,6,7,131,essence,2020,2 roues motrices,18990
peugeot,2008,peugeot 2008,automatique,Bleu,niveau 1,suv-4x4,1199,18923,5,5,8,7,130,essence,2022,2 roues motrices,25990
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,20017,5,5,5,4,75,essence,2022,2 roues motrices,17490
peugeot,308,peugeot 308,manuelle,Gris,niveau 1,berline,1199,21796,5,5,6,6,110,essence,2022,2 roues motrices,23990
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,13640,5,5,5,4,75,essence,2022,2 roues motrices,17690
peugeot,208,peugeot 208,automatique,Gris,niveau 1,citadine,1199,32390,5,5,8,5,100,essence,2021,2 roues motrices,18690
peugeot,208,peugeot 208,manuelle,Blanc,niveau 1,citadine,1199,80000,5,5,5,4,82,essence,2016,2 roues motrices,11289
ford,puma,ford puma,manuelle,Gris,niveau 1,suv-4x4,999,17650,5,5,6,6,125,essence,2022,2 roues motrices,25289
peugeot,208,peugeot 208,manuelle,Blanc,niveau 1,citadine,1199,60500,5,5,5,5,110,essence,2016,2 roues motrices,13189
citroën,c3,citroën c3,automatique,Blanc,niveau 1,citadine,1199,20187,5,5,6,6,110,essence,2020,2 roues motrices,17389
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,50750,5,5,5,5,110,essence,2016,2 roues motrices,13789
peugeot,208,peugeot 208,manuelle,Blanc,niveau 2,utilitaire,1499,78634,2,5,5,5,100,diesel,2019,2 roues motrices,10489
peugeot,208,peugeot 208,manuelle,Jaune,niveau 1,citadine,1199,42524,5,5,5,4,75,essence,2020,2 roues motrices,15490
peugeot,208,peugeot 208,manuelle,Blanc,niveau 2,utilitaire,1560,53659,2,5,6,5,100,diesel,2018,2 roues motrices,10689
volkswagen,t-roc,volkswagen t-roc,automatique,Blanc,niveau 1,suv-4x4,1498,15746,5,5,7,8,150,essence,2021,2 roues motrices,29689
dacia,sandero,dacia sandero,automatique,Gris,niveau 1,citadine,999,18538,5,5,1,5,92,essence,2021,2 roues motrices,16289
citroën,c3,citroën c3,manuelle,Blanc,niveau 2,citadine,1499,25973,5,5,5,5,102,diesel,2019,2 roues motrices,13689
peugeot,2008,peugeot 2008,manuelle,Gris,niveau 1,suv-4x4,1199,49872,5,5,6,5,100,essence,2021,2 roues motrices,18689
opel,corsa,opel corsa,manuelle,Blanc,niveau 1,citadine,1398,49127,5,5,5,5,90,essence,2018,2 roues motrices,11489
citroën,berlingo,citroën berlingo,automatique,Gris,niveau 2,utilitaire,1499,128093,2,4,8,5,130,diesel,2019,2 roues motrices,16889
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,26072,5,5,5,4,75,essence,2020,2 roues motrices,14889
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,20478,5,5,5,4,75,essence,2020,2 roues motrices,14689
peugeot,2008,peugeot 2008,manuelle,Blanc,niveau 1,suv-4x4,1199,46763,5,5,6,5,100,essence,2021,2 roues motrices,19990
ds,ds 3,ds ds 3,manuelle,Rouge,niveau 1,citadine,1199,50400,5,3,5,4,82,essence,2018,2 roues motrices,13490
citroën,c3,citroën c3,manuelle,Sable,niveau 1,citadine,1199,26424,5,5,5,4,83,essence,2023,2 roues motrices,16990
citroën,c3,citroën c3,manuelle,Sable,niveau 1,citadine,1199,8365,5,5,5,4,83,essence,2023,2 roues motrices,17990
citroën,c4,citroën c4,automatique,Gris,niveau 1,berline,1199,15530,5,5,8,7,131,essence,2023,2 roues motrices,26990
ds,ds 3,ds ds 3,automatique,Gris,niveau 1,citadine,1199,30715,5,5,8,7,130,essence,2021,2 roues motrices,26490
dacia,sandero,dacia sandero,manuelle,Blanc,niveau 1,citadine,999,14817,5,5,6,5,92,essence,2021,2 roues motrices,14990
citroën,c3,citroën c3,manuelle,Gris,niveau 2,citadine,1499,47002,5,5,6,5,102,diesel,2022,2 roues motrices,13690
peugeot,208,peugeot 208,manuelle,Blanc,niveau 1,citadine,1199,37229,5,5,5,5,110,essence,2018,2 roues motrices,12990
peugeot,508,peugeot 508,automatique,Gris,niveau 2,berline,1499,98478,5,5,8,6,130,diesel,2019,2 roues motrices,20890
peugeot,2008,peugeot 2008,manuelle,Blanc,niveau 1,suv-4x4,1199,57000,5,5,6,6,130,essence,2020,2 roues motrices,18990
citroën,c3 aircross,citroën c3 aircross,automatique,Gris,niveau 1,suv-4x4,1199,47985,5,5,6,7,131,essence,2020,2 roues motrices,18980
peugeot,208,peugeot 208,manuelle,Gris,niveau 1,citadine,1199,30978,5,5,5,4,75,essence,2020,2 roues motrices,16189
peugeot,boxer,peugeot boxer,manuelle,Blanc,niveau 2,utilitaire,2179,71825,3,4,6,7,140,diesel,2020,2 roues motrices,25589
citroën,c3,citroën c3,manuelle,Gris,niveau 1,citadine,1199,17403,5,5,5,4,82,essence,2020,2 roues motrices,14189
peugeot,2008,peugeot 2008,manuelle,Gris,niveau 1,suv-4x4,1199,39632,5,5,6,5,100,essence,2021,2 roues motrices,18489
suzuki,vitara,suzuki vitara,manuelle,Blanc,niveau 1,suv-4x4,1586,29961,5,5,5,6,120,essence,2018,4 roues motrices,16890
peugeot,2008,peugeot 2008,automatique,Blanc,niveau 1,suv-4x4,1199,37839,5,5,8,8,155,essence,2020,2 roues motrices,24890
